job,currency
Accommodation manager,TRY
"Teacher, special educational needs",AUD
Call centre manager,KRW
International aid/development worker,BYR
Mental health nurse,RUB
"Engineer, manufacturing systems",SPL
Nature conservation officer,IQD
Dentist,YER
Herbalist,NPR
Music tutor,SRD
Firefighter,BIF
Operations geologist,BDT
Building surveyor,HTG
Data processing manager,VND
Theatre director,KHR
Forensic scientist,MUR
Media buyer,MVR
Health service manager,HNL
Chemical engineer,IMP
Trade union research officer,SOS
Product/process development scientist,VEF
Art gallery manager,GHS
"Conservator, museum/gallery",LSL
"Engineer, structural",LSL
Industrial buyer,KHR
"Engineer, biomedical",WST
"Development worker, community",TMT
"Education officer, museum",BHD
"Conservation officer, nature",NOK
Ambulance person,IRR
Land,XPF
Radio producer,SRD
Company secretary,NAD
Product/process development scientist,ALL
Hospital pharmacist,MZN
"Geneticist, molecular",ISK
Retail manager,KPW
Health and safety adviser,HRK
"Nurse, mental health",ZMW
Tax adviser,MVR
Agricultural engineer,KPW
"Administrator, local government",TRY
Health and safety inspector,COP
"Research officer, government",KRW
"Engineer, structural",RUB
Gaffer,PLN
Emergency planning/management officer,PAB
Call centre manager,UGX
Chief Financial Officer,CNY
Special educational needs teacher,UYU
Emergency planning/management officer,RUB
Brewing technologist,PHP
"Solicitor, Scotland",ERN
Forensic scientist,IRR
Tour manager,RSD
"Embryologist, clinical",TOP
Personnel officer,CUC
Town planner,MMK
Chiropodist,TMT
"Psychologist, educational",CUC
Meteorologist,IDR
"Civil engineer, contracting",XPF
"Therapist, occupational",KGS
Technical author,ARS
Maintenance engineer,MZN
Chief Financial Officer,CZK
Retail manager,PGK
Data scientist,BYR
"Engineer, civil (consulting)",HTG
Textile designer,TTD
"Engineer, materials",XOF
"Biochemist, clinical",TND
Toxicologist,SOS
Chemical engineer,VUV
Architect,MRO
Private music teacher,DZD
Tourism officer,NZD
Administrator,UYU
"Research officer, government",CNY
Network engineer,ZMW
Best boy,TTD
"Engineer, maintenance",RUB
Customer service manager,UGX
Video editor,KHR
Actor,CAD
Ceramics designer,RUB
Curator,XCD
Purchasing manager,GBP
Cytogeneticist,SOS
"Engineer, agricultural",SVC
Colour technologist,FKP
Aid worker,BIF
Occupational hygienist,BMD
Legal executive,MOP
Mechanical engineer,KYD
Race relations officer,PYG
"Psychotherapist, child",AUD
Trade mark attorney,GIP
Midwife,KWD
Ship broker,RON
Furniture conservator/restorer,JEP
"Engineer, automotive",FJD
Claims inspector/assessor,MMK
Logistics and distribution manager,MNT
Mechanical engineer,PHP
Product manager,PEN
Sales executive,IMP
Sports administrator,SHP
Secondary school teacher,OMR
"Designer, graphic",CLP
Secretary/administrator,EGP
"Pharmacist, community",NAD
Psychotherapist,GHS
Environmental manager,QAR
"Nurse, learning disability",PHP
Armed forces operational officer,NZD
"Radiographer, diagnostic",TMT
Software engineer,ZMW
Heritage manager,MOP
Production manager,BWP
"Lecturer, higher education",KRW
"Pharmacist, hospital",JEP
"Lighting technician, broadcasting/film/video",RUB
"Administrator, education",NZD
"Physicist, medical",KWD
Operational researcher,BAM
Audiological scientist,FJD
Hospital pharmacist,TZS
"Teacher, early years/pre",NGN
Politician's assistant,CHF
Equities trader,TTD
Environmental consultant,DJF
"Education officer, environmental",KHR
Games developer,WST
International aid/development worker,KRW
Medical technical officer,BHD
Medical technical officer,CZK
Financial risk analyst,PLN
Land,TJS
"Conservation officer, historic buildings",RSD
"Producer, television/film/video",NPR
Optometrist,SHP
Theatre director,KWD
"Engineer, automotive",VND
Race relations officer,BYR
Armed forces training and education officer,GBP
Physiological scientist,BYR
Product/process development scientist,SYP
"Therapist, sports",YER
"Production assistant, radio",EUR
Special effects artist,VUV
Illustrator,BTN
"Engineer, control and instrumentation",IRR
"Civil engineer, consulting",CUC
Furniture conservator/restorer,ILS
"Development worker, community",TJS
"Loss adjuster, chartered",QAR
Politician's assistant,IDR
"Teacher, music",KWD
Museum/gallery exhibitions officer,HUF
Broadcast presenter,CLP
Catering manager,ISK
"Scientist, water quality",IMP
"Engineer, structural",JMD
Chief of Staff,RON
Armed forces operational officer,SBD
Child psychotherapist,MOP
"Teacher, music",ARS
Clinical psychologist,FKP
"Civil engineer, contracting",IRR
Water quality scientist,MVR
Medical physicist,BZD
Retail manager,BND
Politician's assistant,AMD
Theme park manager,PKR
Art therapist,BWP
"Pharmacist, community",CNY
Public librarian,FKP
Proofreader,HUF
Clinical psychologist,CZK
Intelligence analyst,BGN
Actor,UGX
Industrial/product designer,NIO
Architectural technologist,UZS
Radio broadcast assistant,BMD
Museum/gallery conservator,DJF
Nutritional therapist,HNL
Trade union research officer,SGD
"Therapist, horticultural",CDF
Chartered accountant,AUD
Midwife,BTN
"Administrator, Civil Service",BDT
"Engineer, communications",ALL
Chief Strategy Officer,BGN
"Engineer, land",COP
Equality and diversity officer,SVC
Publishing rights manager,MXN
Banker,KWD
Commercial/residential surveyor,XDR
"Engineer, chemical",KYD
"Geologist, wellsite",GBP
Academic librarian,CUP
Community pharmacist,HUF
Probation officer,TJS
Chief Operating Officer,VUV
Minerals surveyor,BMD
"Teacher, music",TND
Environmental health practitioner,LKR
"Nurse, learning disability",ETB
"Designer, exhibition/display",BMD
Academic librarian,HTG
Health visitor,PHP
Orthoptist,TMT
"Research officer, political party",EGP
"Nurse, mental health",UAH
"Lecturer, further education",LBP
"Therapist, speech and language",SAR
Estate agent,QAR
"Engineer, production",SDG
Fitness centre manager,ZWD
Learning disability nurse,USD
"Teacher, early years/pre",ALL
Energy manager,TND
Personnel officer,XAF
Armed forces technical officer,SZL
Actor,BDT
Planning and development surveyor,BRL
Barista,RWF
Chartered legal executive (England and Wales),XAF
Colour technologist,MZN
Dance movement psychotherapist,HKD
Food technologist,TWD
Geoscientist,RSD
Chief of Staff,TOP
Quarry manager,EUR
Music therapist,KWD
Museum/gallery conservator,QAR
"Lecturer, further education",BWP
Accounting technician,CLP
Multimedia specialist,MKD
"Conservator, furniture",TND
Barista,BIF
Chartered certified accountant,KES
Barrister,XAF
Set designer,KRW
Lexicographer,KHR
Horticultural consultant,XDR
Logistics and distribution manager,IRR
Soil scientist,KYD
Secretary/administrator,XOF
Barrister's clerk,RUB
Television/film/video producer,YER
"Runner, broadcasting/film/video",TND
"Journalist, broadcasting",NZD
Mudlogger,MUR
"Administrator, arts",XPF
Systems developer,BGN
Product/process development scientist,ANG
Higher education lecturer,MRO
Exercise physiologist,XOF
Illustrator,AUD
Sub,CLP
General practice doctor,BGN
Equality and diversity officer,PKR
"Sound technician, broadcasting/film/video",KHR
Archivist,HKD
Telecommunications researcher,CUC
Consulting civil engineer,COP
Structural engineer,UGX
"Merchandiser, retail",ISK
"Surveyor, commercial/residential",TND
Leisure centre manager,INR
Social researcher,FJD
"Teacher, adult education",YER
Photographer,DZD
"Psychotherapist, child",YER
Barrister,CVE
"Engineer, water",RON
Legal executive,CLP
Health physicist,NIO
"Engineer, materials",CNY
"Pharmacist, hospital",QAR
Radiation protection practitioner,PEN
Chartered legal executive (England and Wales),AWG
Advertising art director,BGN
"Development worker, international aid",TTD
International aid/development worker,BMD
Photographer,EGP
Geographical information systems officer,MNT
Intelligence analyst,RUB
Conference centre manager,BAM
Homeopath,ARS
"Administrator, arts",SHP
Tour manager,PLN
Structural engineer,LYD
Immunologist,DOP
"Scientist, forensic",PLN
Logistics and distribution manager,MMK
"Journalist, magazine",XAF
Company secretary,FKP
"Therapist, occupational",NPR
Phytotherapist,HNL
Petroleum engineer,BIF
"Administrator, charities/voluntary organisations",CLP
"Scientist, research (maths)",BMD
Soil scientist,BTN
"Editor, film/video",EGP
"Accountant, chartered",PKR
"Presenter, broadcasting",SAR
"Editor, commissioning",AUD
Marketing executive,SVC
Television production assistant,TVD
Seismic interpreter,ERN
Art gallery manager,UGX
Armed forces technical officer,GMD
"Doctor, general practice",MMK
Textile designer,EGP
Hospital pharmacist,NAD
Armed forces training and education officer,KZT
Diagnostic radiographer,JEP
Education administrator,PLN
Public librarian,GHS
Psychiatrist,PLN
"Production assistant, radio",MYR
Chiropodist,SDG
"Geologist, engineering",MRO
Event organiser,IQD
Social researcher,CLP
Geographical information systems officer,MXN
Psychiatric nurse,TWD
Musician,UAH
Network engineer,HKD
"Surveyor, insurance",BMD
Musician,GGP
Site engineer,NOK
Occupational psychologist,RUB
"Surveyor, commercial/residential",LBP
"Horticulturist, amenity",BAM
"Engineer, civil (contracting)",SDG
Claims inspector/assessor,MNT
Colour technologist,PHP
Theatre stage manager,EGP
Gaffer,CHF
Chemical engineer,TZS
"Accountant, chartered",CNY
Recruitment consultant,TMT
Television production assistant,PEN
Government social research officer,GTQ
Patent attorney,NIO
"Engineer, building services",VND
Pensions consultant,TOP
Data processing manager,ILS
Legal executive,AOA
Personal assistant,MMK
Geographical information systems officer,PGK
Art gallery manager,BDT
Press sub,BAM
"Engineer, control and instrumentation",ERN
Office manager,GIP
Best boy,DZD
Medical technical officer,XAF
Graphic designer,BOB
Immigration officer,MMK
"Editor, film/video",KHR
Furniture designer,XOF
Pharmacologist,HUF
Water engineer,MRO
Nature conservation officer,MGA
"Surveyor, insurance",PYG
Best boy,UYU
Archaeologist,BDT
Writer,GIP
Catering manager,TND
Oncologist,TND
Physiological scientist,BBD
Clinical research associate,TOP
"Designer, fashion/clothing",KRW
"Scientist, research (life sciences)",NIO
Accommodation manager,USD
Data scientist,JPY
Hotel manager,UGX
"Education officer, environmental",CUP
Building surveyor,BND
"Scientist, product/process development",ALL
"Therapist, speech and language",JEP
Special effects artist,ILS
Immunologist,KES
"Geologist, engineering",ALL
Games developer,BIF
Research scientist (maths),IMP
Geochemist,ILS
Multimedia specialist,LBP
"Doctor, general practice",GYD
Copy,AED
"Engineer, production",BYR
Astronomer,IMP
Musician,MWK
Passenger transport manager,BSD
Restaurant manager,HNL
Aeronautical engineer,XDR
English as a foreign language teacher,LTL
Manufacturing engineer,TOP
Paediatric nurse,RWF
Politician's assistant,PKR
Energy manager,SCR
Airline pilot,FKP
"Administrator, education",PAB
Product/process development scientist,SAR
Secondary school teacher,KMF
Race relations officer,MXN
Surgeon,CDF
Merchant navy officer,SHP
Fast food restaurant manager,PGK
Human resources officer,NZD
"Engineer, water",MWK
Aeronautical engineer,BND
Mechanical engineer,HTG
"Surveyor, rural practice",NPR
Radio broadcast assistant,JMD
"Producer, radio",LBP
Copy,LAK
Travel agency manager,ZAR
Herpetologist,PHP
Dentist,INR
Diagnostic radiographer,VEF
Theatre stage manager,CLP
Broadcast engineer,JMD
"Psychotherapist, dance movement",RSD
Web designer,AWG
Television floor manager,CUP
"Therapist, speech and language",ANG
"Programme researcher, broadcasting/film/video",LTL
"Scientist, research (medical)",CAD
Forest/woodland manager,MGA
"Scientist, forensic",PLN
IT technical support officer,BBD
"Doctor, general practice",DKK
Environmental education officer,LKR
"Psychologist, sport and exercise",BAM
"Conservator, museum/gallery",ERN
Interpreter,SGD
Counsellor,SYP
"Scientist, water quality",NIO
Scientific laboratory technician,INR
"Presenter, broadcasting",AED
Fitness centre manager,TOP
Chemical engineer,GIP
Fine artist,ZAR
Biomedical engineer,JEP
Bookseller,CVE
Artist,FJD
Public affairs consultant,ETB
Broadcast journalist,PYG
"Embryologist, clinical",ARS
Hospital pharmacist,UAH
"Psychologist, clinical",TTD
Licensed conveyancer,LSL
Quarry manager,PAB
"Scientist, audiological",ARS
"Therapist, nutritional",ZMW
Quarry manager,CLP
Research scientist (maths),XAF
Neurosurgeon,CHF
General practice doctor,DOP
Architect,THB
Petroleum engineer,RON
Hydrologist,MKD
Surgeon,MVR
Chief Financial Officer,GGP
"Production assistant, radio",LBP
"Surveyor, building",SGD
Physiological scientist,AMD
Gaffer,KGS
Horticultural consultant,GHS
Social researcher,RON
Print production planner,GEL
Financial manager,SVC
Curator,ANG
"Pharmacist, community",BDT
Garment/textile technologist,SRD
Estate manager/land agent,SDG
Sports coach,TVD
Occupational psychologist,LRD
Planning and development surveyor,MMK
"Administrator, sports",IRR
IT technical support officer,CHF
Industrial/product designer,CUC
Public house manager,SYP
"Lecturer, higher education",XDR
Environmental health practitioner,THB
"Administrator, sports",MZN
Product/process development scientist,GNF
Meteorologist,DOP
Architectural technologist,SRD
"Engineer, production",AWG
Cartographer,BDT
Theme park manager,HKD
Operations geologist,BDT
Economist,MUR
"Teacher, early years/pre",BAM
Medical illustrator,KWD
Interior and spatial designer,FJD
Systems analyst,KGS
Environmental education officer,SOS
Air broker,BIF
Radiation protection practitioner,ZAR
"Scientist, biomedical",JMD
Airline pilot,EGP
Facilities manager,UGX
"Development worker, international aid",COP
"Librarian, academic",STD
"Conservation officer, historic buildings",TVD
"Buyer, industrial",DZD
Quality manager,NGN
"Surveyor, land/geomatics",TRY
Ship broker,JEP
Contracting civil engineer,ILS
Aeronautical engineer,ALL
Television production assistant,ZMW
Bookseller,ZWD
Colour technologist,TOP
"Scientist, research (medical)",CVE
Transport planner,GEL
"Psychologist, clinical",NGN
Water engineer,GBP
Technical brewer,CUP
Musician,MGA
Artist,MGA
"Engineer, maintenance (IT)",BZD
Ecologist,PEN
Mental health nurse,TJS
"Merchandiser, retail",ARS
"Therapist, nutritional",THB
Health physicist,ARS
Technical sales engineer,STD
Clinical biochemist,THB
Health and safety inspector,CUP
Tree surgeon,ANG
Interpreter,SLL
Chartered accountant,SYP
Music tutor,TND
Corporate investment banker,MZN
Broadcast presenter,VEF
Financial risk analyst,VND
Field seismologist,SVC
Insurance claims handler,TRY
"Psychologist, counselling",SZL
Research scientist (physical sciences),TMT
Legal executive,CNY
"Engineer, mining",HRK
Agricultural consultant,MVR
"Teacher, music",ISK
Theme park manager,BAM
Forest/woodland manager,VEF
Market researcher,XPF
Publishing copy,TTD
"Pilot, airline",SPL
Telecommunications researcher,SGD
"Surveyor, planning and development",MDL
Stage manager,SYP
Public librarian,DOP
Travel agency manager,LRD
"Scientist, physiological",ZWD
Tax inspector,TMT
Insurance account manager,ZWD
Sports development officer,QAR
Industrial/product designer,PAB
Photographer,MYR
Academic librarian,DKK
Insurance risk surveyor,XCD
Musician,SHP
Print production planner,SOS
"Administrator, sports",SGD
Dramatherapist,BGN
Museum education officer,KHR
Chartered certified accountant,IRR
"Pharmacist, hospital",TTD
Clinical embryologist,PGK
Food technologist,GEL
English as a foreign language teacher,RUB
"Administrator, Civil Service",KYD
"Designer, blown glass/stained glass",TND
Medical technical officer,KZT
Outdoor activities/education manager,AOA
Paramedic,LBP
Scientific laboratory technician,IQD
Health promotion specialist,SYP
"Teacher, adult education",GYD
Toxicologist,MVR
"Engineer, technical sales",SYP
Systems developer,LBP
Visual merchandiser,SCR
Advertising account executive,SZL
Government social research officer,JOD
Ecologist,NPR
Occupational psychologist,CDF
"Psychotherapist, child",SGD
Leisure centre manager,GYD
"Engineer, electrical",ARS
Bonds trader,MRO
"Administrator, charities/voluntary organisations",SHP
Professor Emeritus,GNF
Psychiatrist,GMD
Medical sales representative,AUD
"Teacher, music",CUP
Public relations account executive,HUF
Interior and spatial designer,SHP
Manufacturing engineer,HNL
"Engineer, maintenance",NGN
Advertising copywriter,CDF
"Journalist, broadcasting",KMF
Consulting civil engineer,PEN
"Scientist, water quality",RWF
Chief Executive Officer,BGN
Operational researcher,AFN
Teaching laboratory technician,LBP
Forensic psychologist,NPR
Architect,SVC
Database administrator,LKR
Public house manager,ANG
"Engineer, land",CAD
Press photographer,CAD
Restaurant manager,UZS
Environmental manager,SEK
Advice worker,GBP
Hospital doctor,CVE
Police officer,ZWD
Materials engineer,USD
Comptroller,KYD
"Education officer, museum",VUV
Adult guidance worker,MUR
Environmental manager,JPY
"Sound technician, broadcasting/film/video",XDR
Tour manager,UGX
Risk analyst,COP
Manufacturing engineer,LBP
Newspaper journalist,BBD
"Administrator, education",JPY
"Doctor, general practice",MDL
Occupational psychologist,ZAR
"Teacher, English as a foreign language",KES
Art therapist,BDT
Professor Emeritus,PEN
Chief Operating Officer,IDR
"Development worker, community",CUC
Occupational hygienist,VEF
Engineering geologist,NOK
Health service manager,PHP
Manufacturing systems engineer,PKR
"Engineer, civil (contracting)",CZK
Financial risk analyst,CAD
"Engineer, control and instrumentation",MKD
"Accountant, chartered",TOP
Copy,DJF
Insurance broker,WST
Community education officer,SPL
"Research officer, government",BHD
"Administrator, local government",LAK
Furniture conservator/restorer,SDG
Race relations officer,MGA
Early years teacher,ZWD
"Teacher, adult education",SAR
Local government officer,PEN
Chief Financial Officer,AMD
Investment analyst,NAD
Insurance risk surveyor,PHP
"Accountant, chartered public finance",SOS
"Psychologist, counselling",XAF
Local government officer,TZS
"Designer, jewellery",ZAR
"Engineer, petroleum",CRC
Make,BHD
"Accountant, chartered public finance",NPR
"Nurse, mental health",TND
"Librarian, public",XOF
Dancer,CUP
Product designer,BYR
"Librarian, academic",PEN
Production manager,CRC
Medical laboratory scientific officer,PGK
"Solicitor, Scotland",TRY
Learning mentor,XDR
Animator,AWG
Heritage manager,MYR
"Psychologist, prison and probation services",CAD
"Engineer, manufacturing systems",AOA
Financial manager,ILS
Information officer,KYD
"Scientist, research (physical sciences)",LSL
Operational investment banker,UZS
"Sound technician, broadcasting/film/video",UZS
International aid/development worker,BDT
Building surveyor,PYG
Patent attorney,IDR
Restaurant manager,KES
"Sales professional, IT",MZN
Arts administrator,PYG
"Engineer, technical sales",SBD
Air broker,ZMW
"Engineer, aeronautical",IQD
Equities trader,EUR
Energy engineer,SPL
Manufacturing engineer,PLN
"Geologist, wellsite",BAM
"Programmer, multimedia",MNT
Lawyer,SHP
Surgeon,BTN
IT consultant,SGD
Personnel officer,TOP
Brewing technologist,UAH
Office manager,MKD
Furniture designer,ANG
Management consultant,CNY
"Surveyor, quantity",HRK
Technical sales engineer,TOP
Quarry manager,BYR
Commissioning editor,INR
Patent attorney,BYR
Hydrogeologist,ZAR
"Journalist, magazine",TMT
Fashion designer,HNL
Optometrist,TTD
Applications developer,DJF
Museum/gallery curator,KWD
Science writer,SEK
Environmental consultant,TZS
Publishing copy,GHS
Lexicographer,TJS
Cytogeneticist,MMK
Charity fundraiser,XDR
Medical sales representative,GTQ
"Psychologist, counselling",TJS
Pharmacologist,SYP
Data processing manager,MRO
Immigration officer,CHF
"Surveyor, building control",BND
Film/video editor,WST
Barrister's clerk,LKR
"Production designer, theatre/television/film",SPL
Barista,COP
"Nurse, mental health",LSL
"Administrator, arts",NZD
Transport planner,JMD
Toxicologist,XAF
Psychiatrist,JEP
"Development worker, community",BZD
IT technical support officer,TOP
"Therapist, horticultural",VUV
"Engineer, mining",USD
"Buyer, retail",XPF
"Producer, radio",JMD
Further education lecturer,DOP
Advertising copywriter,RWF
"Journalist, broadcasting",IQD
Emergency planning/management officer,VND
"Teacher, primary school",LAK
Writer,MDL
Risk manager,XDR
Ranger/warden,LSL
Energy engineer,KHR
Environmental manager,GMD
Visual merchandiser,XOF
Equality and diversity officer,MXN
Insurance risk surveyor,ILS
"Journalist, newspaper",NAD
Futures trader,CRC
Web designer,LYD
Oncologist,SAR
Retail manager,TTD
Systems analyst,ZAR
Further education lecturer,SZL
IT sales professional,LBP
Merchant navy officer,MXN
Chartered loss adjuster,GIP
Exercise physiologist,LTL
Special educational needs teacher,NPR
Set designer,ZWD
"Engineer, civil (contracting)",MRO
"Therapist, nutritional",IDR
"Therapist, speech and language",SVC
Research scientist (medical),BHD
Microbiologist,LYD
"Administrator, education",CUP
Insurance broker,GBP
Cytogeneticist,KYD
Risk analyst,LAK
Occupational psychologist,USD
Theatre stage manager,GGP
Research scientist (physical sciences),MDL
"Surveyor, commercial/residential",AOA
Hospital doctor,GHS
Investment analyst,BAM
Advertising account executive,SGD
Occupational therapist,EUR
"Horticulturist, commercial",BRL
"Therapist, nutritional",BTN
Licensed conveyancer,VEF
Retail buyer,LKR
Cartographer,UAH
"Investment banker, operational",WST
Advertising account planner,XOF
Learning mentor,MYR
Museum education officer,ANG
Information officer,MZN
Visual merchandiser,LAK
Associate Professor,SBD
Health and safety inspector,LRD
"Engineer, manufacturing systems",GYD
Cartographer,JPY
"Administrator, local government",SRD
Newspaper journalist,YER
"Psychologist, educational",BGN
International aid/development worker,CZK
Aid worker,KPW
Learning mentor,BND
"Surveyor, minerals",SBD
Health promotion specialist,TND
Risk analyst,MGA
Insurance broker,TZS
Contracting civil engineer,ANG
Manufacturing engineer,GGP
Financial manager,CUP
Quarry manager,FJD
Armed forces operational officer,BYR
Immigration officer,JMD
Actor,BRL
Sports therapist,SPL
"Administrator, sports",RWF
Chartered management accountant,PGK
Oceanographer,GIP
Manufacturing systems engineer,TJS
Multimedia specialist,PGK
Fine artist,AMD
"Engineer, biomedical",KWD
Market researcher,ALL
"Engineer, control and instrumentation",UYU
"Research officer, government",SRD
"Loss adjuster, chartered",BWP
Diplomatic Services operational officer,SGD
Architect,JMD
"Sound technician, broadcasting/film/video",BZD
Commercial/residential surveyor,RUB
Chief Technology Officer,PYG
Air broker,UZS
Magazine journalist,SGD
"Engineer, agricultural",GHS
"Psychologist, clinical",SDG
Warden/ranger,GEL
Commercial art gallery manager,MAD
Drilling engineer,MUR
Sales promotion account executive,UZS
Public librarian,ANG
Herpetologist,BND
Armed forces logistics/support/administrative officer,OMR
Facilities manager,TWD
Lawyer,SVC
"Scientist, audiological",MGA
Translator,BWP
"Designer, textile",HUF
Clothing/textile technologist,GBP
Careers information officer,PKR
Manufacturing systems engineer,IDR
Brewing technologist,SBD
"Psychologist, clinical",ALL
Metallurgist,LTL
Armed forces logistics/support/administrative officer,KPW
Pathologist,SBD
Rural practice surveyor,LTL
Land,KYD
Physiotherapist,BBD
Music therapist,CDF
Graphic designer,JPY
International aid/development worker,HRK
"Therapist, nutritional",NOK
Office manager,BOB
"Engineer, materials",AUD
Glass blower/designer,HKD
Estate manager/land agent,IQD
Geoscientist,AWG
"Programmer, multimedia",QAR
"Engineer, aeronautical",KHR
IT sales professional,PKR
"Engineer, electrical",LKR
"Engineer, chemical",GIP
"Social research officer, government",UGX
Neurosurgeon,USD
Travel agency manager,SZL
Prison officer,SRD
"Solicitor, Scotland",BSD
Dealer,BOB
IT consultant,PKR
English as a second language teacher,MGA
Market researcher,MAD
Animal nutritionist,NGN
Audiological scientist,KES
"Engineer, aeronautical",MDL
Transport planner,HUF
Police officer,SEK
Community arts worker,TZS
"Therapist, drama",XCD
Fish farm manager,GGP
Learning mentor,KGS
Diplomatic Services operational officer,DJF
"Clinical scientist, histocompatibility and immunogenetics",CRC
Insurance broker,ILS
"Engineer, maintenance (IT)",TRY
Network engineer,UZS
Social worker,RUB
Tourist information centre manager,MAD
Osteopath,AOA
Child psychotherapist,SDG
Dietitian,JMD
Nutritional therapist,SEK
Insurance account manager,NAD
"Psychologist, clinical",IQD
Chartered public finance accountant,BAM
Herpetologist,MYR
Data processing manager,PKR
Tax adviser,AOA
Social researcher,NGN
Public affairs consultant,ZMW
Dramatherapist,CZK
Astronomer,PKR
Neurosurgeon,ETB
Chemical engineer,KRW
Child psychotherapist,ZWD
Paediatric nurse,GNF
Lexicographer,GMD
Dispensing optician,HKD
Psychiatric nurse,AZN
Drilling engineer,CDF
Teaching laboratory technician,NGN
Manufacturing systems engineer,SLL
"Production assistant, television",TZS
Futures trader,CHF
"Engineer, manufacturing systems",KZT
Community development worker,MVR
Field seismologist,BDT
Horticultural therapist,SRD
Editorial assistant,DOP
Clinical molecular geneticist,XAF
Aeronautical engineer,COP
"Therapist, nutritional",BOB
Civil Service fast streamer,KMF
Manufacturing engineer,KGS
Tourism officer,PKR
Chief Technology Officer,CNY
Freight forwarder,NGN
Gaffer,CRC
Arboriculturist,SAR
"Doctor, general practice",TVD
Financial adviser,JMD
Clinical embryologist,THB
Theatre manager,COP
Materials engineer,UZS
Web designer,KRW
Dealer,SDG
"Designer, ceramics/pottery",XDR
Legal executive,JMD
Farm manager,MVR
Ceramics designer,GBP
Garment/textile technologist,LAK
Music therapist,ISK
Industrial/product designer,TJS
Sports administrator,AMD
"Psychologist, occupational",SVC
"Scientist, biomedical",SRD
Geophysicist/field seismologist,CUC
Tax adviser,IDR
"Engineer, building services",CUP
Town planner,UGX
Chartered management accountant,JPY
"Radiographer, therapeutic",KES
Location manager,KPW
"Teacher, special educational needs",SAR
Charity fundraiser,MMK
Educational psychologist,HUF
Technical sales engineer,CZK
"Surveyor, mining",TTD
Hydrogeologist,BAM
Meteorologist,HUF
Control and instrumentation engineer,UGX
Sports administrator,HNL
Race relations officer,INR
Pathologist,TMT
Forest/woodland manager,UAH
Health promotion specialist,MGA
"Surveyor, minerals",ERN
"Education officer, environmental",BAM
"Engineer, technical sales",LKR
Logistics and distribution manager,TWD
"Therapist, speech and language",ZMW
Jewellery designer,TVD
"Nurse, mental health",SLL
"Geologist, engineering",DKK
Financial trader,SPL
"Lecturer, higher education",EUR
Gaffer,XOF
"Surveyor, commercial/residential",FJD
Special educational needs teacher,INR
"Psychotherapist, child",GYD
Oncologist,DKK
Fine artist,HNL
"Administrator, arts",SOS
"Therapist, nutritional",SPL
Manufacturing engineer,RSD
Agricultural consultant,SLL
Dramatherapist,MRO
Occupational psychologist,AMD
"Engineer, broadcasting (operations)",SVC
Forensic psychologist,TND
Holiday representative,HRK
"Runner, broadcasting/film/video",SAR
International aid/development worker,YER
"Programmer, applications",SZL
Publishing rights manager,PEN
Environmental health practitioner,BYR
Holiday representative,ARS
Theme park manager,TND
"Engineer, land",DKK
"Lecturer, further education",BSD
Illustrator,OMR
Production manager,HRK
"Education officer, museum",JEP
Event organiser,KRW
"Therapist, horticultural",CLP
Recycling officer,AFN
"Restaurant manager, fast food",GHS
Art gallery manager,XPF
Armed forces logistics/support/administrative officer,BIF
"Psychologist, counselling",XCD
Network engineer,BAM
Games developer,PYG
"Sales professional, IT",KYD
"Doctor, general practice",BSD
"Accountant, chartered management",YER
Stage manager,LBP
"Production designer, theatre/television/film",USD
Land/geomatics surveyor,HRK
Hydrogeologist,SRD
"Surveyor, minerals",SYP
Museum/gallery curator,KPW
"Teacher, music",RUB
"Therapist, horticultural",SVC
Television floor manager,BTN
Politician's assistant,SGD
IT technical support officer,GMD
"Doctor, general practice",GGP
Public librarian,AOA
"Conservation officer, nature",NGN
Barrister's clerk,RWF
Conference centre manager,KPW
"Scientist, product/process development",NZD
Psychotherapist,LTL
Teaching laboratory technician,UZS
Technical sales engineer,GMD
Chief Technology Officer,SPL
Planning and development surveyor,UZS
"Teacher, early years/pre",NZD
Copy,CVE
Community education officer,ILS
Jewellery designer,PGK
Editorial assistant,TZS
Research scientist (physical sciences),IMP
Occupational hygienist,ISK
"Accountant, chartered public finance",UAH
Building services engineer,HRK
Landscape architect,YER
Financial adviser,EUR
Politician's assistant,GBP
"Teacher, English as a foreign language",AMD
Equality and diversity officer,MNT
Veterinary surgeon,MGA
"Nurse, mental health",LRD
"Journalist, newspaper",GHS
Solicitor,UAH
Hydrologist,KYD
Waste management officer,UAH
Curator,ALL
Police officer,IDR
Industrial/product designer,JMD
Environmental education officer,ETB
Hydrographic surveyor,MUR
Diagnostic radiographer,TND
Insurance underwriter,LAK
Clinical psychologist,SCR
Dance movement psychotherapist,GGP
Visual merchandiser,NPR
"Librarian, academic",QAR
"Engineer, communications",VND
Prison officer,NPR
Futures trader,HKD
Clinical embryologist,UZS
"Engineer, materials",MKD
"Psychotherapist, dance movement",PHP
"Nurse, children's",SYP
Counsellor,BND
Market researcher,XPF
Chief Executive Officer,FJD
"Psychologist, educational",MOP
Armed forces technical officer,HUF
Personal assistant,SVC
Careers information officer,TVD
Sales promotion account executive,MOP
"Geologist, engineering",COP
Early years teacher,SEK
Secretary/administrator,SGD
Dancer,AMD
"Surveyor, insurance",MWK
General practice doctor,AFN
Adult nurse,SGD
Copy,MGA
Editorial assistant,MNT
Social researcher,PLN
Minerals surveyor,DKK
"Scientist, research (medical)",IMP
